system:index,sst,.geo
20150807_0,93,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150808_0,97,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150809_0,101,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150810_0,101,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150811_0,101,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150812_0,95,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150813_0,104,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150814_0,109,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150815_0,120,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150816_0,131,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150817_0,130,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150818_0,112,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150819_0,122,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150820_0,85,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150821_0,91,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150822_0,107,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150823_0,116,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150824_0,116,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150825_0,114,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150826_0,95,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150827_0,25,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150828_0,46,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150829_0,-7,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150830_0,32,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150831_0,57,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150901_0,73,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150902_0,85,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150903_0,90,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150904_0,67,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150905_0,-22,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150906_0,20,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150907_0,-40,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150908_0,-25,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150909_0,2,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150910_0,14,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150911_0,21,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150912_0,20,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150913_0,15,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150914_0,10,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150915_0,5,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150916_0,-2,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150917_0,-12,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150918_0,-18,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150919_0,-22,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150920_0,-28,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150921_0,-38,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150922_0,-44,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150923_0,-50,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150924_0,-67,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150925_0,-85,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150926_0,-97,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150927_0,-107,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150928_0,-119,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150929_0,-123,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150930_0,-125,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151001_0,-123,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151002_0,-115,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151003_0,-108,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151004_0,-106,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151005_0,-107,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151006_0,-110,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151007_0,-115,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151008_0,-121,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151009_0,-124,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151010_0,-125,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151011_0,-125,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151012_0,-124,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151013_0,-126,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151014_0,-135,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151015_0,-133,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151016_0,-127,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151017_0,-126,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151018_0,-127,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151019_0,-128,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151020_0,-127,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151021_0,-127,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151022_0,-128,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151023_0,-131,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151024_0,-139,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151025_0,-142,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151026_0,-143,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151027_0,-146,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151028_0,-148,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151029_0,-150,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151030_0,-155,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151031_0,-158,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151101_0,-158,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151102_0,-158,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151103_0,-160,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151104_0,-161,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151105_0,-162,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151106_0,-163,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151107_0,-164,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151108_0,-167,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151109_0,-169,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151110_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151111_0,-174,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151112_0,-174,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151113_0,-174,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151114_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151115_0,-176,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151116_0,-176,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151117_0,-176,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151118_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151119_0,-173,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151120_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151121_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151122_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151123_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151124_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151125_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151126_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151127_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151128_0,-170,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
