"","system.index","HH","OBJECTID","ORIG_FID","Shape_Leng","flowid","newID","pid",".geo","HHbinary","cumHH"
"777884","19_0000c42d623df96f04e1",-9.84799766540527,28129,142,33214.8724996,142,19,69,"{""type"":""Point"",""coordinates"":[-19.438747754260586,79.60138622554985]}",1,142
"777885","19_00009f25bbd5949685a7",-17.2100257873535,28528,144,33325.9209052,144,19,70,"{""type"":""Point"",""coordinates"":[-19.434298210222664,79.60057614529518]}",1,142
"777888","19_000094093e644f488f8e",-18.1801109313965,28728,145,33381.5428299,145,19,71,"{""type"":""Point"",""coordinates"":[-19.4330941564215,79.59941466078747]}",1,143
"777913","19_0000598ee57f78173706",-14.0411214828491,29326,148,33548.7956026,148,19,72,"{""type"":""Point"",""coordinates"":[-19.424771577728613,79.59890093158019]}",1,144
"777904","19_00006f63a98fabbf3ee5",-13.2734813690186,29725,150,33660.6167438,150,19,73,"{""type"":""Point"",""coordinates"":[-19.420242131724816,79.59804827597033]}",1,130
"777749","19_0000d56fdffe75a1e967",-15.6605024337769,25945,131,32976.6457474,131,19,74,"{""type"":""Point"",""coordinates"":[-19.495952940692753,79.59351022849118]}",1,123
"777754","19_000086743272649d5c37",-15.5026998519897,25548,129,32943.0953243,129,19,75,"{""type"":""Point"",""coordinates"":[-19.506642654176606,79.59201020124044]}",1,129
"777600","19_0000b24ff64a912521ba",-11.7438764572144,25748,130,32959.8684668,130,19,76,"{""type"":""Point"",""coordinates"":[-19.504787432475915,79.5906522175978]}",1,128
"777602","19_00007bfb57d1c1cb5f09",-16.7058811187744,26147,132,32993.4271596,132,19,77,"{""type"":""Point"",""coordinates"":[-19.49872027433563,79.58928008138403]}",1,126
"777982","19_00006a63d0a45c452879",-16.6050796508789,28934,146,33437.2294693,146,19,78,"{""type"":""Point"",""coordinates"":[-19.445806467958803,79.58963943016879]}",1,134
