"","system.index","HH","OBJECTID","ORIG_FID","flowid","newID","pid",".geo","cumHH"
"11487","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00003d2cc6236b360421",-1,25,0,1,0,24,"{""type"":""Point"",""coordinates"":[-20.48970592787076,79.69325496036018]}",-1
"11972","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000069fa961e81eb07d8",-1,26,0,1,0,25,"{""type"":""Point"",""coordinates"":[-20.487491012915402,79.6932124217165]}",-1
"11973","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000a4739ed8d01b4004",-1,27,0,1,0,26,"{""type"":""Point"",""coordinates"":[-20.48495567949295,79.69314350339708]}",-1
"11975","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000eabf8d9938b48e4b",1,28,0,1,0,27,"{""type"":""Point"",""coordinates"":[-20.482653666103815,79.69305884323362]}",1
"11974","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000689688b3dcb3cb76",-1,29,0,1,0,28,"{""type"":""Point"",""coordinates"":[-20.480351690424946,79.6929741663778]}",-1
"11978","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000211811a8a232fd41",-1,30,0,1,0,29,"{""type"":""Point"",""coordinates"":[-20.478049752462844,79.69288947282995]}",-1
"11977","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000f5401a8f70d030a9",-1,31,0,1,0,30,"{""type"":""Point"",""coordinates"":[-20.475834963839365,79.69284685288063]}",-1
"11976","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000f19b3b6b3c847cfe",-1,32,0,1,0,31,"{""type"":""Point"",""coordinates"":[-20.47329979785032,79.69277784148844]}",-1
"11997","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000b6a9c40995dc4bcc",-1,33,0,1,0,32,"{""type"":""Point"",""coordinates"":[-20.470997961404542,79.69269309681155]}",-1
"11996","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00002d30e2db24a07af0",-1,34,0,1,0,33,"{""type"":""Point"",""coordinates"":[-20.468696162702418,79.69260833544428]}",-1
"11995","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000fda06c57634cb51f",-1,35,0,1,0,34,"{""type"":""Point"",""coordinates"":[-20.466394401750463,79.69252355738699]}",-1
"11994","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00003f2828f2b0f77d45",-1,36,0,1,0,35,"{""type"":""Point"",""coordinates"":[-20.463946438368367,79.69249656417573]}",-1
"11993","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000ffd30a411fa444f2",-1,37,0,1,0,36,"{""type"":""Point"",""coordinates"":[-20.461644741266625,79.69241175168376]}",-1
"11992","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00001e36e6ee92b40dd9",-1,38,0,1,0,37,"{""type"":""Point"",""coordinates"":[-20.45934308193542,79.69232692250296]}",-1
"11998","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00007230e0f76f3be4d1",-1,39,0,1,0,38,"{""type"":""Point"",""coordinates"":[-20.457041460381248,79.6922420766337]}",-1
"12019","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00007962811b01f8e098",-1,40,0,1,0,39,"{""type"":""Point"",""coordinates"":[-20.454739876610613,79.69215721407635]}",-1
"12020","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000ed9031be315dcc4c",-1,41,0,1,0,40,"{""type"":""Point"",""coordinates"":[-20.452205020752384,79.6920880342466]}",-1
"12021","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000050caeed955aabfdb",-1,42,0,1,0,41,"{""type"":""Point"",""coordinates"":[-20.449990510618758,79.69204523402827]}",-1
"12023","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00003282346b141b4dfa",-1,43,0,1,0,42,"{""type"":""Point"",""coordinates"":[-20.44768902857325,79.6919603203529]}",-1
"12024","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00009d74addcfea612fc",-1,44,0,1,0,43,"{""type"":""Point"",""coordinates"":[-20.44538758433814,79.69187538999101]}",-1
"12013","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000095acb299e26445ed",1,244,1,2,0,44,"{""type"":""Point"",""coordinates"":[-20.44080381157319,79.69261521403376]}",2
"12018","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00000e704ddf64f001b5",-1,46,0,1,0,45,"{""type"":""Point"",""coordinates"":[-20.440551490034807,79.69172117006705]}",-1
"12015","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000097af81278324243",-1,47,0,1,0,46,"{""type"":""Point"",""coordinates"":[-20.438337106783152,79.691678288567]}",-1
"12016","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00002a52e20d22e4ecf7",-1,48,0,1,0,47,"{""type"":""Point"",""coordinates"":[-20.43603580219439,79.69159329040647]}",-1
"12003","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00001482c316b0e28ae9",1,248,1,2,0,48,"{""type"":""Point"",""coordinates"":[-20.431451485342492,79.69233297962215]}",2
"12002","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00003c8ace9abf6cb35e",-1,50,0,1,0,49,"{""type"":""Point"",""coordinates"":[-20.43119997944423,79.6914389280221]}",-1
"12001","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00005cbf63093e480469",-1,51,0,1,0,50,"{""type"":""Point"",""coordinates"":[-20.428898786834807,79.69135387811933]}",-1
"11999","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000acbded96747b34b4",-1,52,0,1,0,51,"{""type"":""Point"",""coordinates"":[-20.426684530635875,79.69131091534503]}",-1
"12000","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000facae43f7e783ba3",1,53,0,1,0,52,"{""type"":""Point"",""coordinates"":[-20.424383403674828,79.69122583270882]}",1
"12143","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00009c23d27cb213b784",-1,54,0,1,0,53,"{""type"":""Point"",""coordinates"":[-20.421848979674067,79.69115641051205]}",-1
"12145","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00004976939c121a2f5a",-1,55,0,1,0,54,"{""type"":""Point"",""coordinates"":[-20.419547926905672,79.69107129282125]}",-1
"12144","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000b6283298a171ed50",-1,56,0,1,0,55,"{""type"":""Point"",""coordinates"":[-20.41724691202813,79.69098615844865]}",-1
"12149","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000e0d22a1e11b5c3c7",1,256,1,2,0,56,"{""type"":""Point"",""coordinates"":[-20.412981728535087,79.69175201392795]}",2
"12150","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00007410da799550d75a",1,58,0,1,0,57,"{""type"":""Point"",""coordinates"":[-20.412498491180546,79.6908736175593]}",1
"12152","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000a48cc774cdd28641",-1,59,0,1,0,58,"{""type"":""Point"",""coordinates"":[-20.41019757836389,79.69078843208632]}",-1
"12163","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00005ceef4b105b63cbd",-1,60,0,1,0,59,"{""type"":""Point"",""coordinates"":[-20.407896703464907,79.69070322993316]}",-1
"12162","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000073d0e38f2d5a12c5",-1,61,0,1,0,60,"{""type"":""Point"",""coordinates"":[-20.4055958664901,79.69061801110023]}",-1
"12161","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000e565424ff15604f1",-1,62,0,1,0,61,"{""type"":""Point"",""coordinates"":[-20.40329506744593,79.6905327755879]}",-1
"12157","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000c7f96af77bb92261",1,262,1,2,0,62,"{""type"":""Point"",""coordinates"":[-20.399029037664334,79.69129844392387]}",0
"12159","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000ad3020dd9c070a85",-1,64,0,1,0,63,"{""type"":""Point"",""coordinates"":[-20.398547006855765,79.6904200260092]}",-1
"12191","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00008131a95409742b82",1,463,2,3,0,64,"{""type"":""Point"",""coordinates"":[-20.392461344498134,79.69197874052483]}",1
"12154","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000bdead6dce61f6662",-1,66,0,1,0,65,"{""type"":""Point"",""coordinates"":[-20.393945651095628,79.6902494361193]}",-1
"12193","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000accefc050c0f2e05",-1,67,0,1,0,66,"{""type"":""Point"",""coordinates"":[-20.391411671165194,79.69017977092334]}",-1
"12188","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00000fdf70d3b000a9be",1,267,1,2,0,67,"{""type"":""Point"",""coordinates"":[-20.387378289866234,79.69092962818463]}",0
"12195","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00009c20007a259e3de1",-1,69,0,1,0,68,"{""type"":""Point"",""coordinates"":[-20.386897266024395,79.69005119232601]}",-1
